NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
100000150,01246,구기동현대빌라,126.956622,37.609682
100000151,01247,광장시장,126.9977438,37.5694708
100000153,01249,혜화경찰서,126.9974788,37.57258074
100000154,01250,서울역사박물관.김구집무실(경교장),126.9721318,37.56990034
100000155,01251,청계3가.관수교,126.9937794,37.56868879
100000156,01252,청계6가.버들다리,127.0080377,37.56993039
100000157,01253,청계7가.맑은내다리,127.0129554,37.56999753
100000158,01254,청계8가.영도교,127.0182311,37.57094659
100000159,01256,원남동사거리,126.9982147,37.57572287
100000164,01261,동대문,127.0123388,37.57182772
100000165,01262,숭인동,127.0204373,37.57427215
100000169,01267,조계사,126.9831609,37.57280034
100000170,01268,적선동,126.9702965,37.57620122
100000171,01269,적선동,126.9711446,37.57576801
100000172,01270,사직단,126.9680667,37.57474628
100000173,01271,사직단,126.9680484,37.5751752
100000174,01272,세종문화회관,126.9768673,37.57394965
100000175,01273,광화문,126.9752562,37.57039033
100000176,01274,서울역사박물관(경교장),126.9702392,37.56930155
100000178,01276,광화문역,126.9761552,37.56987779
100000179,01277,이화동(이화장),127.002955,37.576257
100000180,01278,상명대정문,126.9550207,37.60161972
100000181,01279,이북오도청,126.9558883,37.61305032
100000419,01280,경복궁역(효자로입구),126.9743986,37.57657864
100000183,01281,국립고궁박물관.경복궁서문,126.9743664,37.57677167
100000184,01282,청와대분수대앞,126.9738378,37.58287013
100000185,01283,춘추관앞,126.9795637,37.58300733
100000186,01284,경복궁.국립민속박물관.현대미술관,126.9794299,37.57930743
100000187,01285,경복궁동문,126.9792767,37.576833
100000188,01286,상명대입구.세검정교회,126.9597922,37.59944351
100000189,01287,상명대입구.석파랑,126.9581941,37.59957181
100000190,01288,종로중부새마을금고,127.0065911,37.57241749
100000191,01289,신설동로터리.신한은행앞.서울풍물시장,127.0231183,37.5743861
100000192,01291,청계2가.삼일교,126.9872214,37.56844587
100000193,01292,청계8가.황학교,127.022787,37.57213073
100000355,01293,평창동삼성아파트,126.9787596,37.61111361
100000370,01294,안국역.인사동,126.9855365,37.57633293
100000369,01295,안국역.서울공예박물관,126.9847683,37.57640118
100000371,01296,창덕궁,126.9890031,37.57722809
100000413,01297,남인사마당,126.9874286,37.57131917
100900047,01500,평창파출소,126.9668167,37.60568122
100900178,01501,삼청공원,126.9816469,37.58822768
100900041,01502,수성동계곡,126.9642468,37.58207916
100900040,01503,명륜3가종점,126.9928637,37.59094838
100900197,01504,명륜새마을금고,126.9967049,37.58765327
100900044,01505,서대문3번출구,126.9662183,37.56641607
100900039,01506,낙산공원,127.0087216,37.58040372
100900037,01507,인사미술공간.세탁소,126.9893671,37.58141098
100900036,01508,화정박물관,126.9648837,37.6048012
100900035,01509,금융연수원,126.9815692,37.5865985
100900034,01510,박노수미술관,126.9666035,37.58099674
100900032,01511,샘미용실,126.9932227,37.59030953
100900031,01512,서울국제고등학교,126.9972903,37.58907159
100900029,01513,화정박물관,126.9652008,37.60498061
100900188,01514,적십자병원후문앞,126.9652273,37.56752954
100900202,01515,서울성곽.성대후문,126.9896321,37.5892577
100900026,01516,빨래터.고희동미술관,126.9889728,37.58310083
100900025,01517,세검초등학교,126.9614908,37.60425228
100900024,01518,삼청동주민센터,126.9819072,37.58426383
100900020,01519,통인시장,126.9684098,37.58033191
100900021,01520,양현관,126.9936044,37.58979142
100900017,01521,국민생활관,126.998862,37.58974563
100900016,01522,오거리,126.9622629,37.60706212
100900015,01523,경희궁자이2.3단지,126.9640686,37.56878711
